comparison_method,model,outer_id,repeat,fold,n,R2,RMSE,MAE,MAPE_pct,nRMSE_mean_pct,nRMSE_range_pct,RPD,bias_pred_minus_obs,median_abs_error
direct_BMPDM_all_features,Mean_baseline,33,7,3,25,-0.000697170797516522,62.61698521440408,49.741124705882356,22.646727144942602,24.891459431011594,23.83429579031665,1.0202651385949995,1.6527623529411914,38.156117647058835
two_stage_BMPVS_OOF_times_measured_VS_DM,LinearRegression,33,7,3,25,0.4488656242152035,46.46966782822807,36.72298568265874,15.98969278081821,18.47258930717161,17.68804110423651,1.3747876859013701,14.871672511309566,26.45463340541096
direct_BMPDM_all_features,LinearRegression,33,7,3,25,0.45779289894030184,46.09177345313787,36.41989795345622,16.010729510388437,18.32236900393348,17.54420079824674,1.3860592099613764,14.17900286458514,29.031937158898216
two_stage_BMPVS_OOF_times_measured_VS_DM,Ridge_alpha_1,33,7,3,25,0.4368348985996311,46.97412349756042,36.713566870734496,16.219702308889737,18.673120166090087,17.88005522939442,1.3600238246381096,16.23731590641817,32.93980364758045
direct_BMPDM_all_features,Ridge_alpha_1,33,7,3,25,0.4536526156179065,46.26741675026001,36.32137850313949,16.060679412183777,18.39219060249296,17.61105700799337,1.3807973642231925,14.621865222857274,28.99985856355329
two_stage_BMPVS_OOF_times_measured_VS_DM,RF_fixed_selected_params,33,7,3,25,0.517873289688423,43.463171579968076,32.81459279999999,14.855153011471195,17.27744905669789,16.543659581744716,1.46988645273231,12.756269600000005,23.36516000000009
direct_BMPDM_all_features,RF_fixed_selected_params,33,7,3,25,0.4368000531410453,46.975576721093034,34.86484160000002,15.589800952519933,18.673697850475282,17.88060837898166,1.3599817513148034,9.799217600000008,29.46690000000001
two_stage_BMPVS_OOF_times_measured_VS_DM,GradientBoosting_fixed,33,7,3,25,0.4713965618860049,45.509892519714,34.392641090853594,15.82470139282624,18.09106010909599,17.322715809238044,1.4037811025482179,14.988383736758532,28.496981584029214
direct_BMPDM_all_features,GradientBoosting_fixed,33,7,3,25,0.48211026390553235,45.046335808003846,35.25710561383694,15.60499107455599,17.906787374725315,17.14626931082143,1.418226942374828,11.36876410311026,34.7840755114529
two_stage_BMPVS_OOF_times_measured_VS_DM,ExtraTrees_fixed,33,7,3,25,0.5395281120438631,42.47587937489596,32.46153120000001,14.49959201897478,16.88498136147175,16.167860357834623,1.504051900475374,10.445542399999997,25.154639999999773
direct_BMPDM_all_features,ExtraTrees_fixed,33,7,3,25,0.4184534422151224,47.73457528392742,37.609921200000024,16.0502087529462,18.975414419395022,18.169510762082318,1.3383575053968455,7.224447600000018,33.10609000000025
two_stage_BMPVS_OOF_times_measured_VS_DM,RF_nested_gridsearch,34,7,4,25,0.2696308397174202,48.938805032832114,33.62316796180959,11.489503769600136,18.005653719362822,21.50872633623351,1.1942442805053328,-17.729997307305318,25.69890253474304
direct_BMPDM_all_features,RF_nested_gridsearch,34,7,4,25,0.2376255621288168,49.9995747155609,33.514396122751606,11.15482868910597,18.395934020861787,21.97493724588445,1.168907702469639,-17.58732945557707,22.729029705951547
two_stage_BMPVS_OOF_times_measured_VS_DM,Mean_baseline,34,7,4,25,-0.029911725469749628,58.114184595933516,39.09317450980391,13.171646072872143,21.381475974239848,25.541328438418454,1.0056905798746245,-21.785896862745066,25.75368627450976
direct_BMPDM_all_features,Mean_baseline,34,7,4,25,-0.1690424409099507,61.91520088107114,43.76560745098037,15.231369089504069,22.779952765120456,27.211884534378378,0.9439505512949609,-23.543987843137206,31.151107843137197
two_stage_BMPVS_OOF_times_measured_VS_DM,LinearRegression,34,7,4,25,0.10035501997710283,54.31474285216843,42.82132072072047,15.243707381791715,19.983578491470695,23.87146435730164,1.0760409593450193,-22.32945140117516,42.076543864533306
direct_BMPDM_all_features,LinearRegression,34,7,4,25,0.09860603011894054,54.36751356238973,42.838463355566375,15.248118317750754,20.002993986682156,23.89465721548355,1.0749965222918756,-22.53166677539668,44.71280364956078
two_stage_BMPVS_OOF_times_measured_VS_DM,Ridge_alpha_1,34,7,4,25,0.09303506285343388,54.53526102376417,42.81658981861483,15.250490196537509,20.064711936268058,23.968382641306274,1.071689892155417,-22.100226032202674,40.91567660151216
direct_BMPDM_all_features,Ridge_alpha_1,34,7,4,25,0.09927762859313716,54.347256081150164,42.68185417372692,15.178769217628233,19.995540817521583,23.885754002175606,1.0753972181770628,-22.414719005651655,44.828342070210795
